 Date Time Temp Humidity Light
11-10-2017 174 21 78 1005
11-10-2017 179 21 78 1005
11-10-2017 184 21 78 1005
11-10-2017 189 21 78 1005
11-10-2017 194 21 79 1005
11-10-2017 199 21 79 1005
11-10-2017 204 21 79 1005
11-10-2017 209 21 79 1005
11-10-2017 214 21 79 1005
11-10-2017 219 21 79 1005
11-10-2017 224 21 79 1005
11-10-2017 229 21 79 1005
11-10-2017 234 21 79 1005
11-10-2017 239 21 79 1006
11-10-2017 244 21 79 1005
11-10-2017 249 21 79 1005
11-10-2017 254 21 79 1005
11-10-2017 259 21 79 1006
11-10-2017 264 21 79 1005
11-10-2017 269 21 79 1005
11-10-2017 274 21 79 1005
11-10-2017 279 21 79 1005
11-10-2017 284 21 79 1005
11-10-2017 289 21 80 1005
11-10-2017 294 21 80 1005
11-10-2017 299 21 80 1005
11-10-2017 304 21 80 1005
11-10-2017 309 21 80 1005
11-10-2017 314 21 80 1005
11-10-2017 319 21 80 1005
11-10-2017 324 21 80 1005
11-10-2017 329 21 80 1005
11-10-2017 334 21 80 1005
11-10-2017 339 21 80 1005
11-10-2017 344 21 80 1004
11-10-2017 349 21 80 1003
11-10-2017 354 21 80 1001
11-10-2017 359 21 80 997
11-10-2017 364 21 80 992
11-10-2017 369 21 80 987
11-10-2017 374 21 80 981
11-10-2017 379 21 80 977
11-10-2017 384 21 80 971
11-10-2017 389 21 80 963
11-10-2017 394 21 82 958
11-10-2017 399 21 80 948
11-10-2017 404 21 80 934
11-10-2017 409 21 80 914
11-10-2017 414 21 80 892
11-10-2017 419 21 82 874
11-10-2017 424 21 82 859
11-10-2017 429 21 82 843
11-10-2017 434 21 82 829
11-10-2017 439 21 82 824
11-10-2017 444 21 82 819
11-10-2017 449 21 82 813
11-10-2017 454 21 82 811
11-10-2017 459 21 82 805
11-10-2017 464 21 82 803
11-10-2017 469 21 82 802
11-10-2017 474 21 82 802
11-10-2017 479 21 82 808
11-10-2017 484 21 82 809
11-10-2017 489 21 82 795
11-10-2017 494 21 82 786
11-10-2017 499 21 80 786
11-10-2017 504 21 80 791
11-10-2017 509 21 80 814
11-10-2017 514 21 80 796
11-10-2017 519 21 80 798
11-10-2017 524 21 80 746
11-10-2017 529 21 80 338
11-10-2017 534 21 80 351
11-10-2017 539 21 79 741
11-10-2017 544 23 78 750
11-10-2017 549 23 78 750
11-10-2017 554 21 76 756
11-10-2017 559 21 75 769
11-10-2017 564 21 75 795
11-10-2017 569 22 74 795
11-10-2017 574 22 74 755
11-10-2017 579 22 73 799
11-10-2017 584 22 73 811
11-10-2017 589 22 73 823
11-10-2017 594 22 73 838
11-10-2017 599 22 73 805
11-10-2017 604 22 73 791
11-10-2017 609 22 72 800
11-10-2017 614 22 72 716
11-10-2017 619 21 72 716
11-10-2017 624 22 72 697
11-10-2017 629 22 72 691
11-10-2017 634 22 72 690
11-10-2017 639 21 71 686
11-10-2017 644 22 71 728
11-10-2017 649 22 71 795
11-10-2017 654 22 71 808
11-10-2017 659 22 71 780
11-10-2017 664 22 71 773
